x1,x2,label,phase
-0.6618968631103361,-0.6618968631103361,0,0
-0.5910390754686753,-0.6928395440912585,0,0
-0.8978718370194879,-0.8883934581426018,0,0
-0.7710251195678934,-1.327978164850592,0,0
-0.6477623879164492,-1.3552933152731883,0,0
-0.7210347795682283,-1.3642210870805054,0,0
-0.7561214749585473,-1.3417319808859554,0,0
-0.6397015544203843,-1.334384864758628,0,0
-0.565254997856161,-1.3664171077534835,0,0
-0.3259386603113657,-1.3618363079122917,0,0
-0.1896375846692649,-1.4556793676404203,0,0
-0.1338931388676251,-1.4180689143116543,0,0
-0.1945197381159159,-1.5028647921521314,0,0
-0.19943490240642844,-1.6108125313614248,0,0
-0.11618390471556835,-1.5519409980185896,0,0
-0.2243379762317858,-1.6200708018074739,0,0
-0.22736075784219584,-1.7288836603121969,0,0
0.07417758466975316,-1.5201427273086066,1,0
0.182346628286867,-1.7622532193688116,1,0
-0.08021318681494019,-1.8117608575084807,0,0
-0.07742871041010618,-1.6576011987325605,0,0
0.029558848697199783,-1.587496160471925,1,0
0.3772723038527329,-1.7111265952635233,1,0
0.4036237895746273,-1.8336752144832122,1,0
0.07863960681767762,-1.8079706302471503,1,0
-0.05926532666177499,-1.7160372525525358,0,0
0.08497677357281955,-1.724048089934364,1,0
0.13305733625873378,-1.6894820093636602,1,0
0.023309408465613815,-1.422722998868121,1,0
-0.06112456001960471,-1.0547027470239687,0,0
-0.13787110095036492,-1.3407900054525097,0,0
-0.264847890333342,-1.1732226527590943,0,0
-0.07379683420789121,-1.2311131422052657,0,0
0.12826082941953731,-1.4007231682613168,1,0
-0.05017212371949656,-1.1121989284781164,0,0
-0.22937332012081593,-1.1258873492958825,0,0
-0.24460290746933894,-0.7844034547486293,0,0
-0.08729831871831706,-0.8483493694133167,0,0
-0.19875751117633206,-0.8875204036982435,0,0
-0.6840714760339341,-0.8298796551931761,0,0
-0.6091337986436938,-1.1785986581801013,0,0
-0.5330632982138679,-1.1250777312091818,0,0
-0.4625543120716249,-1.2545382797996056,0,0
-0.3487027144120566,-1.2856345499974593,0,0
-0.3789553887943419,-1.4007267323303327,0,0
-0.6059515576327266,-1.4550266589654188,0,0
-0.6623687829327581,-1.356028610376831,0,0
-0.8302408358361331,-1.3910080900053776,0,0
-1.128094386452913,-1.709076810833814,0,0
-1.2967535395960244,-1.6660961290138447,0,0
-1.5323054653289834,-1.7687860487387546,0,0
-1.5073983031908607,-1.8281987865872766,0,0
-1.4849331804008639,-1.5965518822012792,0,0
-1.2787845016767563,-1.3286453636140294,0,0
-1.31730495110037,-1.4771422350521655,0,0
-1.3793440918546083,-1.8419481801620634,0,0
-1.553770224923224,-1.6821444613540915,0,0
-1.7473827395589214,-1.553465792022472,0,0
-1.8471175889919405,-1.8315349061928772,0,0
-1.701654211941285,-1.8729953809358262,0,0
-1.677287077555381,-1.7698551426363265,0,0
-2.1784440970584007,-1.737627885122474,0,0
-2.038102291799996,-1.6550368160446858,0,0
